OBJECTID,COMPKEY,COMPTYPE,SEGKEY,INTKEY,ELMNTKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,SIGNTYPE,CATEGORY,CATEGORYDESCR,UNITDESC,FACING,SUPPORTKEY,SUPPORTID,SUPPORT,SUPPORTDESCR,COLOR1,SIGNSZ,REFLECTIVEYN,FIELDNOTES,CUSTOM,STARTDAY,ENDDAY,STARTTIME,ENDTIME,SIDE,OWNERSHIP,CURRENT_STATUS,CONDITION,TEXT,SHAPE,ADDDTTM,MODDTTM,INSTDATE,EXPDATE,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,SHAPE_LNG,SHAPE_LAT
11,125327,20,14321,28437,59670,382,-20,SGN-73775,01-RS,R1-1,REGMIS,Regulatory-Miscellaneous                                                                                                                                                                                                                                       ,E LYNN ST 0150 BLOCK S SIDE ( 369) 0 FT W/O BOYER AVE E (R1-1 W/R101)                                                                                                                                                                                          ,W,417870,SAS-64998,TS-10,Telespar Post - 10'                                                                                                                                                                                                                                            ,W/R, ,Y,W/R101,N,,,,,S, ,INSVC, ,STOP,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3108283,47.6395071
12,123377,20,14020,1,14065,111,19,SGN-73566,01-RS,R7-NP,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",E GALER ST 0150 BLOCK N SIDE (  81) 0 FT W/O GRANDVIEW PL E (R7-NP )                                                                                                                                                                                           ,NE,416408,SAS-63536,MP,Metal Post                                                                                                                                                                                                                                                     ,R/W, ,N,,N,1,7,0,2359,N, ,INSVC, ,NO PARKING ANYTIME,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3120488,47.63238333
13,128626,20,14719,1,82606,80,-17,SGN-76667,01-RS,R7-NP,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",E ROANOKE ST 0007 BLOCK S SIDE (  67) 67 FT E /O FAIRVIEW AVE E (R7-NP C/R160W)                                                                                                                                                                                ,W,420473,SAS-67601,TS-10,Telespar Post - 10'                                                                                                                                                                                                                                            ,R/W, ,N,C/R160W,N,1,7,0,2359,S, ,INSVC, ,NO PARKING ANYTIME,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT4, ,N,,-122.3283199,47.64314573
14,126518,20,14416,1,82282,1130,-41,SGN-76370,01-RS,R7-NP,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",EAST MARGINAL WAY S 0720 BLOCK SW SIDE (1107) 616 FT NW/O S WEBSTER ST (R7-NP )                                                                                                                                                                                ,N,418772,SAS-65900,UP,Wood Pole                                                                                                                                                                                                                                                      ,R/W, ,N,,N,1,7,0,2359,SW, ,INSVC, ,NO PARKING ANYTIME,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT2, ,N,,-122.317257,47.53655985
15,131159,20,2187,1,70137,306,53,SGN-79126,02-WS,W11-153,WARNCW,Warning-Crosswalk                                                                                                                                                                                                                                              ,15TH AVE W 0200 BLOCK W SIDE ( 306) 7 FT S/O W ARMORY WAY (W11-153 )                                                                                                                                                                                           ,N,359711,SAS-6839,UP,Wood Pole                                                                                                                                                                                                                                                      ,K/Y, ,Y,,N,,,,,W, ,INSVC, ,[PEDESTRIAN IN X-WALK],,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT7, ,N,,-122.3763575,47.63755421
16,121241,20,13743,1,81689,13,17,SGN-71503,01-RS,R8-2HZ8,PRZ,Restricted Parking Zone permited parking                                                                                                                                                                                                                       ,YALE AVE E 0250 BLOCK W SIDE (   0) 0 FT N/O E LOUISA ST (R8-2HZ8 W/R118-8)                                                                                                                                                                                    ,N,414842,SAS-61970,UP,Wood Pole                                                                                                                                                                                                                                                      ,G/W,12x18,N,W/R118-8,N,1,6,700,1800,W, ,INSVC, ,"2 H PARKING 7A-6P EXC SUN-HOL, EXC BY ZONE 8 PERMIT",,07/16/2002 12:00:00 AM +0000,03/31/2010 12:00:00 AM +0000,,,DISTRICT4, ,N,,-122.3271742,47.64206663
17,126993,20,14467,1,36997,53,17,SGN-75284,01-RS,R8-SCHBUSX,PSCH,School Bus or Load                                                                                                                                                                                                                                             ,E MCGRAW ST 0200 BLOCK N SIDE (  40) 40 FT E/O 20TH AVE E (R8-SCHBUSX W/R460E)                                                                                                                                                                                 ,E,666791,SAS-141564,TS-7,Telespar Post - 7'                                                                                                                                                                                                                                             ,BLACK/YELW,12x18,N,W/R460E,N,1,5,700,1600,N,SDOT,INSVC, ,"{27}SCHOOL BUS ONLY 7-9 AM, 1-4 PM",,07/16/2002 12:00:00 AM +0000,12/13/2016 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3053125,47.64031828
18,130297,20,14993,37282,60350,649,-17,SGN-80563,01-RS,R1-1,REGMIS,Regulatory-Miscellaneous                                                                                                                                                                                                                                       ,N 103RD ST 0090 BLOCK S SIDE ( 636) 0 FT W/O AURORA N AVE N (R1-1 W/R105)                                                                                                                                                                                      ,W,421784,SAS-68912,TS-10,Telespar Post - 10'                                                                                                                                                                                                                                            ,W/R,,Y,W/R105,N,,,,,S, ,INSVC, ,STOP,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT5, ,N,,-122.344734,47.70355629
19,130482,20,15022,1,60377,167,17,SGN-79771,01-RS,R7-E,PINST,Includes geographic directional signs                                                                                                                                                                                                                          ,N 106TH ST 0200 BLOCK N SIDE ( 154) 150 FT W/O BAGLEY AVE N (R7-E C/R101)                                                                                                                                                                                      ,E,421913,SAS-69041,UP,Wood Pole                                                                                                                                                                                                                                                      ,R/W,12x12,N,C/R101,N,1,7,0,2359,N, ,INSVC, ,EAST OF HERE,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT5, ,N,,-122.3332679,47.70598512
20,128768,20,14732,1,37274,93,-18,SGN-78086,01-RS,R7-NPW,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",E ROANOKE ST 0200 BLOCK S SIDE (  80) 80 FT E/O WEST MONTLAKE PL E (R7-NPW )                                                                                                                                                                                   ,W,420564,SAS-67692,UP,Wood Pole                                                                                                                                                                                                                                                      ,R/W,12x18,N,,N,1,7,0,2359,S, ,INSVC, ,NO PARKING WEST OF HERE,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3048318,47.64311582
21,123224,20,2098,1,2149,103,37,SGN-71610,04-GSF,E4-501,GUIDE,Guide                                                                                                                                                                                                                                                          ,15TH AVE NW 0510 BLOCK W SIDE (  80) 80 FT N/O NW 51ST ST (E4-501 )                                                                                                                                                                                            ,N,359070,SAS-6198,WP,Wood Post                                                                                                                                                                                                                                                      ,W/G, ,Y,,Y,,,,,W, ,INSVC, ,"DGST: D 10 (0591) - TXT: *CHG LN 5: LEARY WAY,-,EXIT ONLY,[DW ARROW] *HGT: 48 *WTH: 72 *CLR: S1: WHITE/GREEN S2: BLACK/YELLOW  ",,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT6, ,N,,-122.3763689,47.66598583
22,124488,20,14211,30186,82098,236,-17,SGN-71880,01-RS,R1-1,REGMIS,Regulatory-Miscellaneous                                                                                                                                                                                                                                       ,E JAMES ST 0220 BLOCK S SIDE ( 223) 0 FT W/O 23RD AVE (R1-1 W/R105)                                                                                                                                                                                            ,W,417266,SAS-64394,WP,Wood Post                                                                                                                                                                                                                                                      ,W/R, ,Y,W/R105,N,,,,,S, ,INSVC, ,STOP,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3028318,47.60682173
23,125228,20,14306,1,14362,103,-17,SGN-73682,01-RS,R8-4HZ8,PRZ,Restricted Parking Zone permited parking                                                                                                                                                                                                                       ,E LYNN ST 0005 BLOCK S SIDE (  90) 90 FT E/O FAIRVIEW AVE E (R8-4HZ8 W/R119)                                                                                                                                                                                   ,W,417785,SAS-64913,WP,Wood Post                                                                                                                                                                                                                                                      ,G/W,12x18,N,W/R119,N,1,6,700,1800,S, ,INSVC, ,"4 H PARKING 7A-6P EXC SUN-HOL, EXC BY ZONE 8 PERMIT",,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT4, ,N,,-122.3289625,47.63968101
24,128257,20,2542,1,96026,0,,SGN-76390,02-WS,OM1-3,WARNH,Warning-Hazard                                                                                                                                                                                                                                                 ,18TH AVE 0160 BLOCK C SIDE (   0) 0 FT N/O E PINE ST (OM1-3 TRC)                                                                                                                                                                                               ,E,361604,SAS-8732,TS-10,Telespar Post - 10'                                                                                                                                                                                                                                            ,Y/Y,,Y,TRC,N,,,,,C, ,INSVC, ,[YELLOW DIAMOND MARKER],,07/16/2002 12:00:00 AM +0000,02/07/2011 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3088472,47.61527112
25,131672,20,15282,1,83190,309,-27,SGN-80484,01-RS,R7-NP,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",N 145TH ST 0230 BLOCK S SIDE ( 286) 0 FT W/O SUNNYSIDE AVE N (R7-NP )                                                                                                                                                                                          ,W,422881,SAS-70009,UP,Wood Pole                                                                                                                                                                                                                                                      ,R/W, ,N,,N,1,7,0,2359,S, ,INSVC, ,NO PARKING ANYTIME,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT5, ,N,,-122.3303272,47.73403204
26,130900,20,15121,1,37677,90,14,SGN-78516,02-WS,W1-1R,WARNCU,Warning-Curve                                                                                                                                                                                                                                                  ,N 122ND ST 0190 BLOCK N SIDE (  60) 60 FT E /O BURKE AVE N (W1-1R W/W35)                                                                                                                                                                                       ,E,422272,SAS-69400,TS-12,Telespar Post - 12'                                                                                                                                                                                                                                            ,K/Y, ,Y,W/W35,N,,,,,N, ,INSVC, ,[90R CRV ARROW],,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT5, ,N,,-122.3351899,47.71716384
27,126598,20,14419,1,14477,240,27,SGN-74628,01-RS,R7-NP,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",EAST MARGINAL WAY S 0760 BLOCK NE SIDE ( 217) 217 FT SE/O 16TH AVE S (R7-NP )                                                                                                                                                                                  ,SE,418825,SAS-65953,UP,Wood Pole                                                                                                                                                                                                                                                      ,R/W, ,N,,N,1,7,0,2359,NE, ,INSVC, ,NO PARKING ANYTIME,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT2, ,N,,-122.3123992,47.53388621
28,128743,20,14729,1,108925,4,,SGN-78064,01-RS,R3-5L,REGLUC,Regulatory-Lane Use Control                                                                                                                                                                                                                                    ,E ROANOKE ST 0100 BLOCK C SIDE (   4) 4 FT E/O 10TH E AVE E (R3-5L LTL)                                                                                                                                                                                        ,E,420548,SAS-67676,SW,Overhead Span Wire                                                                                                                                                                                                                                             ,K/W, ,Y,LTL,N,,,,,C, ,INSVC, ,[45L CRV ARROW] ONLY,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3195795,47.64319504
29,123756,20,14095,1,59417,214,17,SGN-73933,01-RS,R6-2L,REGOW,Regulatory-One Way                                                                                                                                                                                                                                             ,E HAMLIN ST 0180 BLOCK N SIDE ( 201) 270 FT W/O 19TH AVE E (R6-2L )                                                                                                                                                                                            ,S,416705,SAS-63833,TS-10,Telespar Post - 10'                                                                                                                                                                                                                                            ,K/W,,Y,,N,,,,,N, ,INSVC, ,ONE WAY [LT ARROW?,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3082059,47.64561628
30,128590,20,14712,1,82594,75,-17,SGN-77937,01-RS,R7-W,PINST,Includes geographic directional signs                                                                                                                                                                                                                          ,E REPUBLICAN ST 0210 BLOCK S SIDE (  62) 62 FT E /O 21ST AVE E (R7-W C/R101)                                                                                                                                                                                   ,W,420448,SAS-67576,TS-10,Telespar Post - 10'                                                                                                                                                                                                                                            ,R/W,12x12,N,C/R101,N,1,7,0,2359,S, ,INSVC, ,WEST OF HERE,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3043869,47.62315458
31,131065,20,15147,1,60485,459,17,SGN-79833,01-RS,R7-NP,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",N 128TH ST 0090 BLOCK N SIDE ( 446) 355 FT W/O AURORA AVE N (R7-NP W/R160E)                                                                                                                                                                                    ,E,422402,SAS-69530,UP,Wood Pole                                                                                                                                                                                                                                                      ,R/W, ,N,W/R160E,N,1,7,0,2359,N, ,INSVC, ,NO PARKING ANYTIME,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT5, ,N,,-122.3464637,47.72235181
32,129384,20,14809,1,82714,200,-17,SGN-77049,01-RS,R8-2HZ7,PRZ,Restricted Parking Zone permited parking                                                                                                                                                                                                                       ,E SPRUCE ST 0120 BLOCK S SIDE ( 187) 187 FT E/O 12TH AVE (R8-2HZ7 W/R8-EG)                                                                                                                                                                                     ,W,421033,SAS-68161,WP,Wood Post                                                                                                                                                                                                                                                      ,G/W,12x18,N,W/R8-EG,N,1,6,700,1800,S, ,INSVC, ,"2 H PARKING 7A-6P EXC SUN-HOL, EXC BY ZONE 7 PERMIT",,07/16/2002 12:00:00 AM +0000,02/09/2011 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3159719,47.60346616
33,129084,20,14777,1,82678,15,-17,SGN-78075,02-WS,W13-15,WARNS,Warning-Speed                                                                                                                                                                                                                                                  ,E SHELBY ST 0080 BLOCK S SIDE (   2) 2 FT E/O HARVARD AVE E (W13-15 C/W57)                                                                                                                                                                                     ,W,420829,SAS-67957,WP,Wood Post                                                                                                                                                                                                                                                      ,Y, ,Y,C/W57,N,,,,,S, ,INSVC, ,15 MPH,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3220424,47.64687527
34,127085,20,14474,29116,14537,20,20,SGN-76608,01-RS,R1-1,REGMIS,Regulatory-Miscellaneous                                                                                                                                                                                                                                       ,E MERCER ST 0040 BLOCK N SIDE (   0) 0 FT E/O BELLEVUE AVE E (R1-1 W/R101)                                                                                                                                                                                     ,E,419172,SAS-66300,WP,Wood Post                                                                                                                                                                                                                                                      ,W/R, ,Y,W/R101,N,,,,,N, ,INSVC, ,STOP,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3265184,47.62434078
35,124031,20,14115,1,14158,33,-17,SGN-73852,01-RS,R8-2HZ4,PRZ,Restricted Parking Zone permited parking                                                                                                                                                                                                                       ,E HARRISON ST 0170 BLOCK S SIDE (  20) 20 FT E/O 17TH AVE E (R8-2HZ4 )                                                                                                                                                                                         ,W,416886,SAS-64014,TS-10,Telespar Post - 10'                                                                                                                                                                                                                                            ,G/W,12x18,N,,N,1,6,700,1800,S, ,INSVC, ,"2 H PARKING 7A-6P EXC SUN-HOL, EXC BY ZONE 4 PERMIT",,07/16/2002 12:00:00 AM +0000,02/02/2011 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3099021,47.62202908
36,130347,20,2179,35034,47361,657,-17,SGN-80598,01-RS,R1-1,REGMIS,Regulatory-Miscellaneous                                                                                                                                                                                                                                       ,15TH AVE SW 0880 BLOCK W SIDE ( 644) 0 FT N/O SW HENDERSON ST (R1-1 W/R105)                                                                                                                                                                                    ,N,359638,SAS-6766,WP,Wood Post                                                                                                                                                                                                                                                      ,W/R, ,Y,W/R105,N,,,,,W, ,INSVC, ,STOP,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT1, ,N,,-122.3540365,47.52289846
37,126759,20,2123,1,70069,15,13,SGN-76212,01-RS,R7-NP,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",15TH AVE NW 0900 BLOCK W SIDE (   0) 0 FT N/O NW 90TH N ST (R7-NP )                                                                                                                                                                                            ,N,359347,SAS-6475,TS-5,Telespar Post - 5'                                                                                                                                                                                                                                             ,R/W,,N,,N,1,7,0,2359,W,SDOT,INSVC,GOOD,NO PARKING ANYTIME,,07/16/2002 12:00:00 AM +0000,10/04/2010 12:00:00 AM +0000,10/01/2010 12:00:00 AM +0000,,DISTRICT6, ,N,,-122.3768511,47.6947295
38,122995,20,13957,1,36562,43,-17,SGN-72810,01-RS,R8-2HZ4,PRZ,Restricted Parking Zone permited parking                                                                                                                                                                                                                       ,E DENNY WAY 0130 BLOCK S SIDE (  30) 30 FT E/O 13TH AVE (R8-2HZ4 )                                                                                                                                                                                             ,W,416121,SAS-63249,TS-10,Telespar Post - 10'                                                                                                                                                                                                                                            ,G/W,12x18,N,,N,1,6,700,1800,S, ,INSVC, ,"2 H PARKING 7A-6P EXC SUN-HOL, EXC BY ZONE 4 PERMIT",,07/16/2002 12:00:00 AM +0000,02/03/2011 12:00:00 AM +0000,,,DISTRICT3, ,N,,-122.3154299,47.61873275
39,130967,20,519931,1,125874,738,32,SGN-80869,01-RS,R7-NP,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",N 125TH ST 0090 BLOCK N SIDE ( 708) 175 FT W/O AURORA AVE N (R7-NP )                                                                                                                                                                                           ,E,422326,SAS-69454,TS-10,Telespar Post - 10'                                                                                                                                                                                                                                            ,R/W,,N,,N,1,7,0,2359,N, ,INSVC, ,NO PARKING ANYTIME,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT5, ,N,,-122.3457722,47.71966227
40,120564,20,13588,26919,13622,286,-17,SGN-71143,01-RS,R1-1,REGMIS,Regulatory-Miscellaneous                                                                                                                                                                                                                                       ,WHITMAN AVE N 0440 BLOCK E SIDE ( 273) 0 FT S/O N 45TH E ST (R1-1 W/R105)                                                                                                                                                                                      ,S,414274,SAS-61402,WP,Wood Post                                                                                                                                                                                                                                                      ,W/R, ,Y,W/R105,N,,,,,E, ,INSVC, ,STOP,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT4, ,N,,-122.3455449,47.6613472
41,123678,20,14084,24581,108196,366,,SGN-73576,01-RS,R1-1,REGMIS,Regulatory-Miscellaneous                                                                                                                                                                                                                                       ,"EAST GREEN LAKE WAY N 0694 BLOCK C SIDE ( 366) 0 FT SW/O NE 71ST ST (R1-1 ISL,S S-RD)                                                                                                                                                                          ",S,416652,SAS-63780,WP,Wood Post                                                                                                                                                                                                                                                      ,W/R, ,Y,"ISL,S S-RD",N,,,,,C, ,INSVC, ,STOP,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT6, ,N,,-122.3257129,47.67981702
42,133422,20,15635,25552,15710,339,-17,SGN-83136,01-RS,R1-1,REGMIS,Regulatory-Miscellaneous                                                                                                                                                                                                                                       ,N 49TH ST 0190 BLOCK S SIDE ( 326) 0 FT W/O MERIDIAN AVE N (R1-1 W/R105)                                                                                                                                                                                       ,W,424352,SAS-71480,TS-10,Telespar Post - 10'                                                                                                                                                                                                                                            ,W/R, ,Y,W/R105,N,,,,,S, ,INSVC, ,STOP,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT4, ,N,,-122.3337819,47.66424518
43,130811,20,15102,1,83002,419,-17,SGN-78436,01-RS,R7-NPE,PNP,"No Parking, but ""standing"" allowed                                                                                                                                                                                                                             ",N 120TH ST 0170 BLOCK S SIDE ( 406) 30 FT W/O BURKE AVE N (R7-NPE DF)                                                                                                                                                                                          ,W,422195,SAS-69323,WP,Wood Post                                                                                                                                                                                                                                                      ,R/W,12x18,N,DF,N,1,7,0,2359,S, ,INSVC, ,NO PARKING EAST OF HERE,,07/16/2002 12:00:00 AM +0000,12/23/2009 12:00:00 AM +0000,,,DISTRICT5, ,N,,-122.3356706,47.71588399
44,164636,20,13552,1,58846,199,-26,SGN-68692,01-RS,R8-DISABLE,PDIS,Diabled Parking Signs                                                                                                                                                                                                                                          ,WESTLAKE EAST RDWY AVE N 0173 BLOCK E SIDE ( 184) 184 FT N/O BLAINE ST (R8-DISABLE 8.5' -112)                                                                                                                                                                  ,W,414160,SAS-61288,TS-10,Telespar Post - 10'                                                                                                                                                                                                                                            ,K/W,12x18,N,8.5' -112,N,1,7,0,2359,E,SDOT,INSVC,GOOD,[DISABLED PERSON] STATE DISABLED PARKING PERMIT REQUIRED TOW-AWAY ZONE PHONE 684-5444,,07/26/2004 12:00:00 AM +0000,08/16/2013 12:00:00 AM +0000,,,DISTRICT7, ,N,,-122.3400925,47.63519511
